Time Since Start (s),Frequency (Hz),Magnitude (dBFS),Range (m)
501.42121,93140.99803921569,-22.91081792780741,0.1985128676470599
501.42121,95188.05294117646,-19.947504672298656,0.1985128676470599
501.42121,97235.10784313724,-27.615271729430408,0.1985128676470599
501.42121,99282.162745098,-22.106166731466253,0.1985128676470599
501.42121,101329.21764705885,-14.843800188518264,0.1985128676470599
501.42121,103376.2725490196,-16.156411030931753,0.1985128676470599
501.42121,105423.32745098036,-12.734716649427018,0.1985128676470599
501.42121,107470.38235294116,-13.486388969900878,0.1985128676470599
501.42121,109517.43725490198,-21.667265367980548,0.1985128676470599
501.42121,111564.49215686276,-15.15041883772522,0.1985128676470599
501.42121,113611.54705882352,-17.112530453940433,0.1985128676470599
501.42121,115658.60196078428,-26.6907572881004,0.1985128676470599
501.42121,117705.65686274506,-19.106861972422287,0.1985128676470599
501.42121,119752.71176470588,-19.126090579059504,0.1985128676470599
501.42121,121799.76666666666,-23.84540586865066,0.1985128676470599
501.42121,123846.82156862743,-15.166652360867928,0.1985128676470599
501.42121,125893.8764705882,-13.363859049639366,0.1985128676470599
501.42121,127940.93137254904,-5.64993579343442,0.1985128676470599
501.42121,129987.9862745098,-22.155155096944,0.1985128676470599
501.42121,132035.04117647058,-19.3233905144075,0.1985128676470599
501.42121,134082.09607843135,-18.221410610659184,0.1985128676470599
501.42121,136129.15098039212,-23.15201136647459,0.1985128676470599
501.42121,138176.20588235295,-25.849069493934294,0.1985128676470599
501.42121,140223.26078431372,-22.81072015243478,0.1985128676470599
501.42121,142270.3156862745,-34.239323804075696,0.1985128676470599
501.42121,144317.37058823527,-22.640505308528923,0.1985128676470599
501.42121,146364.4254901961,-24.37698763770396,0.1985128676470599
501.42121,148411.48039215687,-21.17295787745078,0.1985128676470599
501.42121,150458.53529411764,-26.29075274925253,0.1985128676470599
501.42121,152505.5901960784,-26.834120738241506,0.1985128676470599
501.42121,154552.64509803918,-22.108019963541977,0.1985128676470599
501.42121,156599.7,-18.132816931346746,0.1985128676470599
501.42121,158646.75490196078,-22.64262013139735,0.1985128676470599
501.42121,160693.80980392155,-22.467253011433662,0.1985128676470599
501.42121,162740.86470588233,-18.706889452313092,0.1985128676470599
501.42121,164787.91960784316,-29.985124514788364,0.1985128676470599
501.42121,166834.97450980393,-29.621626937611,0.1985128676470599
501.42121,168882.0294117647,-18.300324639503746,0.1985128676470599
501.42121,170929.08431372547,-19.313390197556178,0.1985128676470599
501.42121,172976.13921568624,-13.750407563528078,0.1985128676470599
501.42121,175023.19411764707,-14.276758322790863,0.1985128676470599
501.42121,177070.24901960784,-13.034724751166848,0.1985128676470599
501.42121,179117.3039215686,-22.06505394249487,0.1985128676470599
